word	sentiment
axial	-0.084
axiom	-0.122
axiomatic	-0.084
axis	-0.582
axle	-0.082
ay	0.0
aye	0.124
azimuth	-0.23
azure	0.24
babble	0.104
babbling	-0.208
babe	0.72
baboon	-0.286
baby	0.656
babysit	0.438
babysitter	0.312
baccalaureate	0.458
baccarat	0.166
bachelor	0.334
bachelorette	0.47
back	-0.194
backboard	-0.04
backbone	0.076
backdoor	-0.312
backdrop	-0.36
backer	-0.167
backfire	-0.47
backgammon	0.16
background	-0.202
backhand	-0.146
backhoe	-0.204
backoff	-0.792
backpack	0.458
backpacker	0.02
backroom	-0.188
backseat	-0.224
backside	-0.636
backtrack	-0.376
backup	0.04
backward	-0.264
backwardness	-0.542
backwards	-0.396
backwater	-0.376
backwoods	0.082
backyard	0.104
bacon	0.396
bacteria	-0.646
bacterial	-0.688
bacterium	-0.612
bad	-0.381
badass	-0.49
badday	-0.346
badfeeling	-0.5
badge	0.134
badger	-0.312
badhabit	-0.632
badly	-0.349
badness	-0.812
baffle	-0.125
baffled	-0.698
bafflement	-0.153
bag	0.0
bagel	0.062
baggage	0.22
baggie	-0.266
baggy	0.042
bagman	0.012
bagpipes	0.082
bail	-0.254
bailiff	-0.306
bait	-0.448
bake	0.734
bakery	0.604
baking	0.098
bal	-0.02
balance	0.368
balanced	0.612
balcony	0.124
bald	-0.388
balding	-0.396
baldy	-0.204
bale	-0.126
balk	-0.542
ball	0.222
ballad	0.584
ballast	-0.292
ballerina	0.604
ballet	0.312
ballgame	0.562
ballistic	-0.48
ballistics	-0.458
balloon	0.458
ballot	0.042
ballpark	0.448
ballplayer	0.438
ballpoint	0.192
ballroom	0.694
ballsy	0.062
balm	0.25
balmy	0.368
balsam	0.326
balsamic	0.164
bam	-0.146
bamboo	0.292
ban	-0.708
banana	0.224
band	0.296
bandage	-0.56
bandanna	0.124
bandit	-0.812
bandstand	0.47
bandwagon	0.25
bandwidth	0.428
bane	-0.47
bang	-0.47
banger	-0.244
banish	-0.708
banished	-0.896
banishment	-0.68
banister	-0.164
banjo	-0.062
bank	0.124
banker	0.172
banking	0.02
bankroll	-0.062
bankrupt	-0.674
bankruptcy	-0.98
banner	0.042
banquet	0.53
banshee	-0.184
banter	0.188
banzai	0.1
baptism	0.688
baptismal	0.292
baptize	0.478
bar	-0.361
barb	-0.104
barbarian	-0.354
barbaric	-0.53
barbarism	-0.62
barbecue	0.584
barbed	-0.646
barber	0.086
barbershop	0.194
barbie doll	0.458
bard	-0.06
bare	-0.334
bareback	0.0
barefoot	-0.11
barely	-0.297
barf	-0.32
bargain	0.306
bargaining	0.244
barge	-0.062
baritone	0.184
barium	-0.188
bark	-0.28
barkeep	-0.04
barks	-0.146
barley	0.228
barmaid	0.042
barman	0.188
barn	0.02
barnacle	-0.184
barney	-0.098
barnyard	0.02
barometer	-0.224
baron	0.04
baroness	0.25
baroque	-0.02
barrack	-0.244
barracuda	-0.334
barrage	-0.224
barred	-0.714
barrel	-0.142
barren	-0.654
barricade	-0.354
barrier	-0.334
barring	-0.416
barrister	-0.062
barroom	0.372
barrow	-0.042
bartender	0.146
barter	-0.07
base	0.27
baseball	0.32
baseball bat	0.334
baseboard	-0.208
baseless	-0.416
baseline	-0.034
baseman	0.208
basement	-0.224
bases	0.138
bash	-0.23
bashful	-0.2
basic	0.069
basics	0.376
basil	0.068
basilica	0.224
basin	0.104
basis	0.204
bask	0.52
basket	-0.084
basketball	0.628
bass	-0.146
bass guitar	0.476
basso	-0.166
bassoon	0.0
bastard	-0.889
bastarding	-0.792
bastards	-0.836
bastion	0.062
bat	-0.352
batch	0.12
batching	-0.032
bate	-0.142
bath	0.45
bathe	0.354
bathhouse	0.204
bathing	0.48
bathrobe	0.062
bathroom	0.122
bathtub	0.25
bathymetry	-0.136
baton	-0.456
battalion	-0.334
batter	0.122
battered	-0.84
battering	-0.58
battery	-0.04
battle	-0.542
battled	-0.416
battlefield	-0.734
battleground	-0.688
battlements	-0.448
battleship	-0.042
batty	-0.25
bauble	0.396
bawdy	-0.632
bawl	-0.23
bay	0.438
bayonet	-0.474
bayou	-0.062
bazaar	0.208
bazooka	-0.396
bday	0.458
be	0.34
beach	0.77
beaches	0.73
beacon	0.16
bead	0.184
beading	0.084
beads	0.346
beady	-0.104
beagle	0.298
beak	-0.25
beaker	-0.16
beam	0.168
beaming	0.784
bean	0.334
beanbag	-0.1
beanie	0.0
bear	-0.104
bearable	0.084
beard	-0.02
bearded	-0.122
bearer	0.142
bearing	0.142
bearings	-0.164
bearish	0.042
bearskin	-0.334
beast	-0.5
beastly	-0.708
beat	-0.413
beaten	-0.834
beater	-0.124
beating	-0.694
beatnik	-0.142
beau	0.224
beautification	0.77
beautiful	0.891
beautify	0.796
beauty	0.81
beaver	-0.02
bebop	-0.036
beck	0.16
beckon	0.326
become	0.282
bed	0.208
bedding	0.408
bedpan	0.02
bedrock	0.122
bedroom	0.488
bedside	0.208
bedspread	0.102
bedtime	0.346
bee	0.04
beef	0.164
beefsteak	0.188
beehive	0.082
beep	0.19
beeper	-0.124
beer	-0.047
bees	0.124
beeswax	0.166
beetle	-0.354
befall	0.04
befitting	0.416
befriend	0.86
befuddled	-0.688
beg	-0.542
beggar	-0.52
begging	-0.25
begin	0.354
beginner	-0.02
beginning	0.632
beginnings	0.674
begrudge	-0.646
begun	0.354
behalf	-0.181
behappy	0.75
behave	0.354
behavior	0.188
behavioral	0.224
behemoth	0.166
behest	0.204
behold	0.22
beholden	-0.408
beholder	0.428
beige	-0.02
belated	-0.52
belay	0.0
belch	-0.612
belief	0.792
believable	0.732
believe	0.562
believed	0.0
believer	0.45
believing	0.74
belittle	-0.762
belittled	-0.646
bell	0.104
bellboy	0.084
bellhop	0.0
belligerent	-0.312
bellman	0.08
bellow	-0.504
bellows	-0.084
belly	0.02
bellybutton	0.062
bellyful	-0.306
belong	0.286
belongings	0.184
